ID_Node,Origen,ID,Anho,Mes,Total,Total_Origen_Incoming,Total_Origin_Cumulative
55,O Barco de Valdeorras,200403,2004,3,0.0,0.0,0.0
56,Ponferrada. C.Inv.,200403,2004,3,0.0,0.0,0.0
57,Ponte de Lima,200403,2004,3,0.0,0.0,0.0
58,Republica Checa,200403,2004,3,0.0,0.0,0.0
59,Resto,200403,2004,3,602.0,0.0,602.0
60,Resto Asturias - C.N,200403,2004,3,0.0,0.0,0.0
61,Resto C. León C.F.,200403,2004,3,0.0,0.0,0.0
62,Resto de Galicia,200403,2004,3,0.0,0.0,0.0
63,Resto de Portugal,200403,2004,3,0.0,0.0,0.0
64,Resto Galicia,200403,2004,3,0.0,0.0,0.0
65,Resto Portugal,200403,2004,3,0.0,0.0,0.0
66,Sahagún,200403,2004,3,0.0,278.0,278.0
67,Samos,200403,2004,3,0.0,0.0,0.0
68,San Sebastián,200403,2004,3,0.0,0.0,0.0
69,Santander,200403,2004,3,0.0,0.0,0.0
70,Somport,200403,2004,3,0.0,0.0,0.0
71,Vega de Valcarce,200403,2004,3,0.0,768.0,768.0
72,Verín,200403,2004,3,0.0,0.0,0.0
73,Vezelay,200403,2004,3,0.0,0.0,0.0
74,Viana do Castelo,200403,2004,3,0.0,0.0,0.0
75,Villafranca del Bierzo,200403,2004,3,64.0,704.0,768.0
0,Catedral Santiago de Compostela,200404,2004,4,0.0,15554.0,15554.0
1,Sarria,200404,2004,4,4851.0,5944.0,10795.0
2,Tui,200404,2004,4,1462.0,0.0,1462.0
3,S. Jean P. Port,200404,2004,4,392.0,0.0,392.0
4,Ferrol,200404,2004,4,0.0,0.0,0.0
5,Oporto,200404,2004,4,0.0,0.0,0.0
6,Cebreiro,200404,2004,4,2362.0,3582.0,5944.0
7,Ribadeo,200404,2004,4,0.0,0.0,0.0
8,Valença do Minho,200404,2004,4,0.0,0.0,0.0
9,Roncesvalles,200404,2004,4,783.0,392.0,1175.0
10,Oviedo - C.P.,200404,2004,4,0.0,0.0,0.0
11,Vigo,200404,2004,4,0.0,0.0,0.0
12,Ponte de sa,200404,2004,4,0.0,0.0,0.0
13,Oporto Costa,200404,2004,4,0.0,0.0,0.0
14,Ourense,200404,2004,4,464.0,0.0,464.0
15,Lisboa,200404,2004,4,0.0,0.0,0.0
16,León,200404,2004,4,605.0,1175.0,1780.0
17,A Guarda,200404,2004,4,0.0,0.0,0.0
18,Corrubedo,200404,2004,4,0.0,0.0,0.0
19,Ponferrada,200404,2004,4,757.0,2289.0,3046.0
20,Le Puy,200404,2004,4,0.0,0.0,0.0
21,Lugo - C.P.,200404,2004,4,0.0,0.0,0.0
22,Baiona,200404,2004,4,0.0,0.0,0.0
23,Vilalba,200404,2004,4,0.0,0.0,0.0
24,Irún,200404,2004,4,0.0,0.0,0.0
25,Astorga,200404,2004,4,509.0,1780.0,2289.0
26,Porriño,200404,2004,4,0.0,1462.0,1462.0
27,Triacastela,200404,2004,4,0.0,5944.0,5944.0
28,Sevilla,200404,2004,4,0.0,0.0,0.0
29,Pamplona,200404,2004,4,0.0,1175.0,1175.0
30,Burgos,200404,2004,4,0.0,1175.0,1175.0
31,A Coruña,200404,2004,4,0.0,0.0,0.0
32,Alemania,200404,2004,4,0.0,0.0,0.0
33,Barcelona,200404,2004,4,0.0,0.0,0.0
34,Bélgica,200404,2004,4,0.0,0.0,0.0
35,Braga,200404,2004,4,0.0,0.0,0.0
36,Com. Valenciana - C.F.,200404,2004,4,0.0,0.0,0.0
37,Com. Valenciana - O.C.,200404,2004,4,0.0,0.0,0.0
38,Estella,200404,2004,4,0.0,1175.0,1175.0
39,Finisterra,200404,2004,4,0.0,0.0,0.0
40,Fonsagrada - C.P.,200404,2004,4,0.0,0.0,0.0
41,Francia - C.F.,200404,2004,4,0.0,0.0,0.0
42,Gijón,200404,2004,4,0.0,0.0,0.0
43,Gudiña,200404,2004,4,0.0,0.0,0.0
44,Laza,200404,2004,4,0.0,0.0,0.0
45,Logroño,200404,2004,4,0.0,1175.0,1175.0
